/* sensdata.dat

Do Not Edit! Generated by edit_struct.exe
2019/05/20 18:27:54 GMT
*/

masterdata_sn: 3614, num_sensors: 2663, strings_len: 69419, checksum: 8008803
cc_behavior_state  enum  -1.000000
cc_bpump_mode  enum  -1.000000
cc_bpump_value  X  0.000000
cc_depth_state_mode  enum  -1.000000
cc_final_behavior_state  enum  -1.000000
cc_final_bpump_mode  enum  -1.000000
cc_final_bpump_value  X  0.000000
cc_final_depth_state_mode  enum  -1.000000
cc_final_heading_mode  enum  -1.000000
cc_final_heading_value  X  0.000000
cc_final_inflection_mode  enum  -1.000000
cc_final_is_comatose  bool  0.000000
cc_final_mission_status_mode  enum  -3.000000
cc_final_pitch_mode  enum  -1.000000
cc_final_pitch_value  X  0.000000
cc_final_threng_mode  enum  -1.000000
cc_final_thruster_mode  enum  -1.000000
cc_final_thruster_value  X  0.000000
cc_final_time_til_inflect  s  -1.000000
cc_heading_mode  enum  -1.000000
cc_heading_value  X  0.000000
cc_inflection_mode  enum  -1.000000
cc_is_comatose  bool  0.000000
cc_mission_status_mode  enum  -3.000000
cc_pitch_mode  enum  -1.000000
cc_pitch_value  X  0.000000
cc_threng_mode  enum  -1.000000
cc_thruster_mode  enum  -1.000000
cc_thruster_value  X  0.000000
cc_time_til_inflect  s  -1.000000
c_acoustic_modem_target_id  enum  0.000000
c_ad2cp_on  sec  -1.000000
c_air_pump  enum  0.000000
c_alt_recall  msecs  -1.000000
c_alt_time  sec  0.000000
c_argos_on  enum  0.000000
c_att_debug  bool  0.000000
c_att_recall  msec  -1.000000
c_att_time  sec  0.000000
c_autoballast_bpump_state  enum  0.000000
c_autoballast_state  enum  0.000000
c_autoballast_volume  X  1000.000000
c_autobaud_max_ber  nodim  0.000000
c_auvb_num_fields_to_send  nodim  3.000000
c_auvb_on  sec  2.000000
c_azfp_on  sec  -1.000000
c_badd_clear_remote_data  bool  0.000000
c_badd_datacol_status_secs  sec  300.000000
c_badd_data_min_rate  %  50.000000
c_badd_data_min_tries  int  5.000000
